الاسم,الصورة,المادة المرتبطة,الملاحظات,السعر,group
gloves& جفوف& قفازات,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/download_(8).jpeg,"oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21), operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21)",كلش تفيدك كتعقيم,الباكيت 5000,الشغلات المزعجة
wires & اسلاك & وايرس,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/Picsart_25-08-20_14-05-28-874.jpg,orthodontics (https://www.notion.so/orthodontics-248252c80c4a8045bebbf6035ebff4d9?pvs=21),هاي تسوي فيهم تقويم عالكاست,,
mask& كمامة& ماسك,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/download_(9).jpeg,"operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21), prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21)",لازم تلبسها وقت العيادة,,الشغلات المزعجة
amalgam& املكم,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/download_(6).jpeg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),بالاوبرتف مطلوب منك حالات املغم,500,amalgam instruments
mirror& مراية& ميرور,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/download.png,"oral surgery (https://www.notion.so/oral-surgery-248252c80c4a805fae3dcd383d124f68?pvs=21), operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21), periodontology (https://www.notion.so/periodontology-248252c80c4a80b4aa8af607072c702f?pvs=21), prosthodontics (https://www.notion.so/prosthodontics-248252c80c4a8013af78c494631ea702?pvs=21)",اداة فحص,,ميرور*توزر*بروب
composite tubes& تيوبات كمبوست,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/gaenial_achord_22.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),"بيها شيدات هواي ماتحتاج بس شكم شيد
A2:
AO2: كلاس فور
A3: اغمق",,composite needs
composite flowable& كمبوست السائل,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/vista-apex-regen-flowable-composite-90656.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),نفسه مادة الكومبوست بس سائل  نستخدمه بالكلاس ون او تو بالفلور و قرب الباند,"15000
20000 
حسب",composite needs
bond& بوند,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/My-Bond-LC_75267.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),,"15000 الي يمشي الحال
اكو لحد سعر 80الف",composite needs
acid etch& الحفر الحمضي& اسد ايتج,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/VA-BestEtchBulkKit-502115-2.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),,"5000 الي يمشي الحال
اكو ب10000 اكو اغلى هم",composite needs
golden kit& الطقم الذهبي& الكت الذهبي,%D9%83%D9%84%20%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20248252c80c4a8043a481d2af4c018354/152185112-1.jpg,operative (https://www.notion.so/operative-248252c80c4a8029aa30ca81059e411d?pvs=21),تكدر تشتريهن او تكدر تستري مفرد سعر الواحد 4000,25000,composite instruments
